Timestamp,BatchId,UserId,CurrentAlarm,MachineStatus,TotalProductCount,TotalPassCount,ProductDynamicWeight,OffsetPlus,OffsetMinus,CurrentWeight,CurrentWeightStatus,UnderWeightCount,OverWeightCount,DoubleCounts,BatchStatus,RSN,RSN_JSON,Status,SCPM_Code,ReasonCode,ReasonDescription,ProductID
2026-02-27 11:14:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0101015DKOABDO,"{""IRS_ID"": 114, ""IRS_ProductID"": 15, ""PM_GrossWeight"": 2.7, ""PM_MaxOffset"": 200, ""PM_MinOffset"": 200, ""IRS_PackSize"": 1, ""IRS_BatchID"": 149, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101015DKOABDO"", ""IRS_SKU"": ""https://vsecure.techtrio.com/ShreeBhagwati/0101015DKOABDO"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-02-27T18:30:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""isNearExpiry"": 1}",FAIL,OM-U2,8,BYPASS REJECTED,15
2026-02-27 11:15:29,503,1,0,1,2,0,2700,200,200,9255,3,0,1,1,1,0101015DKOABDO,"{""IRS_ID"": 114, ""IRS_ProductID"": 15, ""PM_GrossWeight"": 2.7, ""PM_MaxOffset"": 200, ""PM_MinOffset"": 200, ""IRS_PackSize"": 1, ""IRS_BatchID"": 149, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101015DKOABDO"", ""IRS_SKU"": ""https://vsecure.techtrio.com/ShreeBhagwati/0101015DKOABDO"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-02-27T18:30:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""isNearExpiry"": 1}",FAIL,OM-U2,4,VALID RSN OVER WEIGHT,15
2026-02-27 11:15:57,503,1,0,1,3,0,2700,200,200,1095,1,1,1,1,1,0101015DKOABDO,"{""IRS_ID"": 114, ""IRS_ProductID"": 15, ""PM_GrossWeight"": 2.7, ""PM_MaxOffset"": 200, ""PM_MinOffset"": 200, ""IRS_PackSize"": 1, ""IRS_BatchID"": 149, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101015DKOABDO"", ""IRS_SKU"": ""https://vsecure.techtrio.com/ShreeBhagwati/0101015DKOABDO"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-02-27T18:30:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""isNearExpiry"": 1}",FAIL,OM-U2,4,VALID RSN UNDER WEIGHT,15
2026-02-27 11:16:29,503,1,0,1,4,1,2700,200,200,2750,2,1,1,1,1,0101015DKOABDO,"{""IRS_ID"": 114, ""IRS_ProductID"": 15, ""PM_GrossWeight"": 2.7, ""PM_MaxOffset"": 200, ""PM_MinOffset"": 200, ""IRS_PackSize"": 1, ""IRS_BatchID"": 149, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101015DKOABDO"", ""IRS_SKU"": ""https://vsecure.techtrio.com/ShreeBhagwati/0101015DKOABDO"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-02-27T18:30:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""isNearExpiry"": 1}",PASS,OM-U2,2,VALID RSN BYPASS ACCEPTED,15
2026-02-27 11:16:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0101015DKOABDO,,FAIL,OM-U2,10,ALREADY SCANNED RSN,15
2026-02-27 11:17:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0101015DKOABDO,,FAIL,BFFO-U2,9,INVALID RSN,16
2026-02-27 11:18:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0101015DKOABDO,,FAIL,BFFO-U2,9,INVALID RSN,16
2026-02-27 11:19:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0101015TPODQZI,,FAIL,BFFO-U2,9,INVALID RSN,16
2026-02-27 11:20:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01010165BF2487,,FAIL,BFFO-U2,6,INVALID RSN,16
2026-02-27 11:21:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01010165BF2487,,FAIL,BFFO-U2,6,INVALID RSN,16
