Timestamp,BatchId,UserId,CurrentAlarm,MachineStatus,TotalProductCount,TotalPassCount,ProductDynamicWeight,OffsetPlus,OffsetMinus,CurrentWeight,CurrentWeightStatus,UnderWeightCount,OverWeightCount,DoubleCounts,BatchStatus,RSN,RSN_JSON,Status,SCPM_Code,ReasonCode,ReasonDescription,ProductID
2026-02-14 15:21:06,2219,65819,3,3,54285,54285,1.664,0.093,0.15,1.344,2,0,0,0,1,,,FAIL,MM,0,UNKNOWN FAILURE,84
2026-02-14 15:46:47,7108,80173,4,2,54281,54281,1.756,0.209,0.209,4.125,1,0,0,0,0,,,FAIL,MM,0,UNKNOWN FAILURE,84
2026-02-14 15:49:04,3614,41458,8,2,54281,54281,1.219,0.127,0.095,4.125,1,0,0,0,0,,,FAIL,MM,0,UNKNOWN FAILURE,84
2026-02-14 15:49:43,3017,28645,1,2,54281,54281,1.663,0.08,0.125,5.5,2,0,0,0,0,,,FAIL,MM,0,UNKNOWN FAILURE,84
2026-02-14 17:29:29,BATCH-533,7,2,2,177,278,62.01,3.53,4.07,44.0,2,23,27,0,1,,,FAIL,MM,0,UNKNOWN FAILURE,84
2026-02-14 17:32:00,BATCH-639,7,4,0,209,162,47.86,0.42,0.76,78.99,2,18,48,1,0,,,FAIL,MM,0,UNKNOWN FAILURE,84
2026-02-14 17:48:18,BATCH-346,4,1,1,1,8,82.26,1.99,0.36,45.27,2,37,0,1,0,01010855QX7I7C,"{""IRS_ID"": 250, ""IRS_ProductID"": 84, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 165, ""IRS_PhysicalLocation"": 6, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""01010855QX7I7C"", ""IRS_SKU"": ""https://vsecure.techtrio.com/ShreeBhagwati/01010855QX7I7C"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-02-13T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 1, ""isNearExpiry"": 1}",PASS,MM,2,VALID RSN BYPASS YES,84
2026-02-14 17:49:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FAIL,MM,6,INVALID RSN,83
2026-02-14 17:49:42,BATCH-101,4,2,0,400,373,60.78,1.05,4.35,93.71,3,16,8,3,1,0101085F1MATCP,"{""IRS_ID"": 249, ""IRS_ProductID"": 84, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 165, ""IRS_PhysicalLocation"": 6, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101085F1MATCP"", ""IRS_SKU"": ""https://vsecure.techtrio.com/ShreeBhagwati/0101085F1MATCP"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-02-13T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 1, ""isNearExpiry"": 1}",FAIL,MM,4,VALID RSN OVER WEIGHT,84
2026-02-14 17:50:11,BATCH-516,4,4,0,320,351,26.47,0.39,0.15,16.36,2,22,32,3,0,0101085F1MATCP,"{""IRS_ID"": 249, ""IRS_ProductID"": 84, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 165, ""IRS_PhysicalLocation"": 6, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101085F1MATCP"", ""IRS_SKU"": ""https://vsecure.techtrio.com/ShreeBhagwati/0101085F1MATCP"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-02-13T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 1, ""isNearExpiry"": 1}",PASS,MM,2,VALID RSN BYPASS YES,84
